Exact	Measured
25.7784	27.5776	
32.8016	32.4756	
0	-0.620199	
31.5549	44.7239	
41.9983	38.8698	
38.307	37.93	
0	1.41035	
9.00747	12.9952	
12.2304	9.0991	
49.3406	52.3084	
0	-3.96746	
29.1309	37.8825	
0	-3.45309	
0	-1.48906	
41.2809	51.6199	
17.3048	17.6624	
45.5339	42.9994	
29.4014	27.5107	
39.0565	38.0031	
0	-0.0442624	
42.8948	30.5057	
0	1.82322	
39.7209	31.817	
30.1147	31.633	
44.618	40.1755	
0	-1.65732	
31.5421	33.6689	
19.5235	19.3698	
37.7797	38.9029	
37.6311	46.2215	
49.3397	49.1654	
44.0376	49.242	
44.1244	36.6341	
0	1.71431	
24.4258	26.8826	
5.73499	1.71202	
0	-4.76937	
51.6071	56.7295	
24.218	32.8317	
25.5263	19.8173	
43.9745	44.9652	
0	2.11752	
18.6318	21.098	
50.1719	39.837	
19.0724	18.5361	
40.6584	45.4686	
23.2441	22.6279	
0	-1.88699	
34.3433	36.4372	
29.7645	38.0552	
41.5907	40.7096	
42.5989	35.5875	
22.0873	21.4397	
52.3834	47.5711	
0	0.483437	
35.7966	40.3549	
45.228	47.4276	
40.3329	47.3135	
45.8278	45.5027	
32.8217	41.7198	
22.7302	31.6642	
41.2602	40.323	
34.0911	43.737	
37.6101	41.996	
0	-2.13718	
41.5314	34.591	
22.9089	11.435	
32.7528	21.1207	
29.7665	29.2054	
0	-6.40238	
44.6035	54.051	
42.5161	31.5704	
0	3.21966	
51.3333	49.0332	
0	6.32763	
25.4061	26.1091	
44.3381	43.3799	
36.726	45.4043	
49.0608	53.9501	
0	-0.0565551	
45.4956	54.1922	
6.07433	6.56456	
47.0889	46.4285	
0	3.65482	
39.4058	46.1125	
31.6709	31.0149	
36.5871	44.9733	
48.2387	58.0918	
17.6571	20.0643	
0	4.37912	
0	2.56191	
0	1.51106	
0	-2.35157	
37.8619	40.9542	
11.7511	8.66141	
49.2983	53.0027	
44.5831	36.2849	
31.3911	33.9051	
25.3463	24.1738	
46.5067	46.4971	
36.3376	38.265	
50.3765	61.8769	
49.0253	43.8738	
0	2.12835	
50.0794	50.9288	
41.8152	35.6433	
37.1556	39.051	
28.0558	32.4675	
0	0.0946925	
51.0545	53.0269	
31.7856	41.4853	
29.6227	40.2205	
49.1941	42.5498	
34.3798	29.3282	
13.6485	10.5286	
49.496	48.7266	
0	-0.321043	
39.0733	32.5175	
39.0065	30.2349	
0	-2.79337	
49.1044	54.995	
34.7562	21.4612	
45.5236	53.1459	
0	1.35529	
31.1206	34.9014	
32.7209	30.8172	
30.3974	24.1384	
51.3709	53.8186	
39.2848	41.8585	
0	4.97439	
31.3086	11.9968	
42.9045	52.8561	
0	2.4212	
14.8396	14.2852	
44.2971	49.3995	
0	0.932973	
49.7286	54.7177	
0	4.16699	
0	0.531066	
49.1776	58.9544	
0	-2.14471	
0	2.84014	
38.9839	42.4824	
43.1853	32.7895	
27.9834	37.8371	
45.691	50.1883	
0	2.71754	
46.8972	34.1048	
34.3716	28.037	
0	-2.60797	
38.0922	35.5708	
0	-2.20632	
44.8448	47.04	
48.6421	47.4743	
13.8338	11.0821	
43.6334	52.1948	
25.3367	24.6615	
28.1186	24.7962	
36.2369	40.1111	
0	-4.17611	
27.7497	27.7698	
30.993	28.6792	
0	0.268583	
49.1165	49.3136	
37.87	28.2248	
41.7048	41.7275	
14.7103	20.0093	
0	2.41917	
47.1135	51.6842	
0	-3.86146	
26.0625	27.9417	
0	-3.03438	
49.8986	42.5487	
28.5886	33.8067	
34.2109	34.5875	
48.9196	47.9057	
37.9117	31.8741	
0	4.97195	
0	-5.53164	
24.8925	27.6322	
36.6353	54.7133	
0	0.388655	
44.7421	48.2375	
12.618	10.0452	
16.9357	12.2	
41.1702	31.5382	
0	3.17509	
33.3873	37.1666	
39.3227	41.214	
34.2328	34.1555	
44.4051	41.6193	
40.7537	44.1074	
34.8148	45.9921	
40.6901	35.7717	
21.8822	7.8277	
20.555	21.0201	
50.5454	58.6076	
46.7142	51.4441	
46.3788	55.8648	
0	8.35597	
46.6642	43.0689	
47.169	56.6093	
51.6134	59.8357	
49.7782	59.3504	
49.124	56.1281	
31.0375	24.2732	
0	0.855495	
45.9063	45.2949	
39.8112	40.1379	
0	-3.71161	
11.5713	16.7858	
48.5478	46.8607	
42.926	46.6683	
9.1776	5.19289	
0	0.227857	
32.6594	35.3007	
