Exact	Measured
69.2899	71.3134
69.2899	74.5795
0	3.1441
69.2899	59.9996
69.2899	57.9824
69.2899	66.7008
69.2899	79.0837
69.2899	60.3981
0	-9.24717
69.2899	71.7274
69.2899	80.1176
69.2899	71.1908
0	-0.525382
69.2899	67.0597
69.2899	68.3307
69.2899	74.1733
69.2899	64.2755
69.2899	71.8968
0	3.42745
69.2899	69.4608
69.2899	68.6678
0	3.89808
69.2899	58.3161
0	1.54935
69.2899	64.1151
69.2899	77.0581
0	2.28195
0	-1.65
69.2899	58.1991
69.2899	61.6984
69.2899	65.1469
69.2899	66.9382
69.2899	69.7217
69.2899	70.1603
69.2899	81.893
69.2899	78.6272
69.2899	74.8126
0	-2.93869
69.2899	77.8403
69.2899	62.2789
0	1.96964
69.2899	66.4166
69.2899	61.0973
69.2899	67.5236
69.2899	52.5209
0	-4.15113
69.2899	69.9705
69.2899	78.4994
69.2899	74.7009
69.2899	69.4058
69.2899	77.4844
69.2899	77.1259
69.2899	63.0871
69.2899	84.4217
69.2899	63.0116
69.2899	70.7119
69.2899	72.1221
69.2899	69.4118
69.2899	76.1227
69.2899	78.9711
69.2899	70.0041
69.2899	56.0978
0	2.03018
69.2899	61.8407
69.2899	70.9558
69.2899	69.7881
69.2899	69.7199
69.2899	76.2522
69.2899	60.0696
69.2899	80.904
69.2899	72.5645
69.2899	63.3573
0	1.68381
69.2899	72.5966
69.2899	71.9773
69.2899	71.8711
69.2899	70.0477
69.2899	76.8947
69.2899	57.4271
0	4.4334
69.2899	72.6785
69.2899	72.091
0	2.86905
69.2899	65.914
69.2899	60.9787
69.2899	52.3483
69.2899	71.2853
69.2899	61.5246
0	-6.40246
69.2899	66.4821
69.2899	55.9156
0	2.75077
0	-2.67802
69.2899	79.9054
69.2899	57.2438
69.2899	59.1088
69.2899	53.126
69.2899	65.7192
69.2899	68.3406
69.2899	72.0694
69.2899	70.7521
69.2899	75.1206
69.2899	63.1278
69.2899	62.3524
69.2899	72.9165
0	2.43467
69.2899	67.2595
0	-5.44838
69.2899	71.1623
69.2899	78.0863
69.2899	60.4218
69.2899	63.7064
69.2899	63.9321
69.2899	67.574
69.2899	73.7982
0	-3.41827
69.2899	72.0459
69.2899	60.6926
0	3.99811
69.2899	60.216
69.2899	70.1689
0	0.351353
0	3.0381
0	0.108783
69.2899	65.8534
69.2899	52.7865
69.2899	61.0978
69.2899	55.5953
69.2899	77.5996
0	3.01511
69.2899	63.1831
69.2899	70.0507
69.2899	61.6194
69.2899	58.0851
69.2899	75.337
69.2899	61.8388
0	-9.46376
0	-0.166499
0	-0.440569
69.2899	60.1121
0	3.57149
0	-1.91441
69.2899	53.2047
69.2899	66.9633
0	-1.88235
69.2899	64.91
0	-1.87372
69.2899	76.0995
69.2899	59.1042
69.2899	68.5542
0	3.72975
69.2899	74.7005
69.2899	66.863
69.2899	71.9579
69.2899	67.7679
69.2899	73.9042
0	2.6008
69.2899	53.5789
69.2899	65.1112
69.2899	47.1923
69.2899	53.9327
69.2899	64.5373
0	0.424962
0	-2.69547
69.2899	78.765
69.2899	73.6395
0	5.70911
0	2.51721
69.2899	68.6762
69.2899	65.5511
69.2899	74.3391
0	1.6947
0	-10.3821
69.2899	41.8196
69.2899	68.9291
0	-3.60743
69.2899	79.6113
69.2899	65.2572
69.2899	71.2869
69.2899	65.2466
69.2899	63.2564
0	1.84046
69.2899	70.0927
69.2899	63.1555
0	-6.89587
69.2899	72.8116
69.2899	59.2615
0	-2.00997
69.2899	71.6857
69.2899	68.459
69.2899	57.7716
69.2899	52.1567
69.2899	77.0881
69.2899	72.8577
0	-1.22422
69.2899	62.554
69.2899	74.51
69.2899	76.7982
69.2899	44.1369
69.2899	56.619
69.2899	82.813
69.2899	52.7422
69.2899	68.7977
69.2899	73.9823
69.2899	64.9201
0	1.26447
69.2899	60.3537
69.2899	74.9343
69.2899	60.7984
69.2899	69.2586
69.2899	77.672
69.2899	70.0669
69.2899	74.7649
69.2899	77.2879
69.2899	65.2865
69.2899	73.3882
69.2899	66.1425
69.2899	69.5673
69.2899	76.6556
0	3.3919
69.2899	78.2435
69.2899	55.8471
69.2899	76.7759
69.2899	66.7123
0	3.84216
69.2899	69.3212
0	-4.88804
69.2899	76.7238
69.2899	86.5712
69.2899	76.8226
69.2899	84.1073
69.2899	69.0731
69.2899	64.5089
0	-7.67273
69.2899	75.1783
69.2899	72.6619
69.2899	74.4451
69.2899	71.1881
69.2899	83.4825
0	-1.3415
69.2899	71.3442
69.2899	70.9855
